step,telescope_perplexity,telescope_cross_perplexity,causal_perplexity,performer_model_entropy,observer_model_entropy,entropy_ratio,kl_divergence,performer_total_variation_distance,observer_total_variation_distance,performer_distribution_overlap,observer_distribution_overlap,performer_logits_std,observer_logits_std,shifted1_telescope_perplexity,shifted1_telescope_cross_perplexity,shifted2_telescope_perplexity,shifted2_telescope_cross_perplexity,shifted3_telescope_perplexity,shifted3_telescope_cross_perplexity
18200.0,[9.578125],[3.3203125],3.0,,,,,0.7368749976158142,0.7368749976158142,0.2631250023841858,0.2631250023841858,0.002223968505859375,0.002223968505859375,501.0,,inf,,inf,
18300.0,[10.578125],[3.599609375],3.65234375,,,,,0.7386810779571533,0.7386810779571533,0.2613188922405243,0.2613188922405243,0.0022487640380859375,0.0022487640380859375,359.5,,inf,,inf,
18400.0,[10.078125],[3.2734375],3.62890625,,,,,0.7764550447463989,0.7764550447463989,0.22337962687015533,0.22337962687015533,0.00225830078125,0.00225830078125,inf,,inf,,inf,
18500.0,[10.9609375],[2.736328125],3.25390625,,,,,0.7146739363670349,0.7146739363670349,0.2853260934352875,0.2853260934352875,0.0025539398193359375,0.0025539398193359375,140.625,,inf,,inf,
18700.0,[9.25],[3.021484375],2.966796875,,,,,0.7145161032676697,0.7145161032676697,0.2852822542190552,0.2852822542190552,0.002399444580078125,0.002399444580078125,853.0,,inf,,inf,
18800.0,[9.953125],[3.451171875],3.91796875,,,,,0.7697010636329651,0.7697010636329651,0.23046875,0.23046875,0.002223968505859375,0.002223968505859375,inf,,inf,,inf,
18900.0,[8.2890625],[3.25],3.166015625,,,,,0.765070915222168,0.765070915222168,0.23492908477783203,0.23492908477783203,0.002109527587890625,0.002109527587890625,339.75,,inf,,inf,
19000.0,[9.7734375],[3.07421875],3.138671875,,,,,0.7303571701049805,0.7303571701049805,0.269345223903656,0.269345223903656,0.002353668212890625,0.002353668212890625,579.0,,inf,,inf,
19100.0,[9.0078125],[2.875],3.005859375,,,,,0.6953125,0.6953125,0.3046875,0.3046875,0.002635955810546875,0.002635955810546875,64.5625,,229.25,,inf,
19200.0,[9.4765625],[3.935546875],4.13671875,,,,,0.8599330186843872,0.8599330186843872,0.1402064710855484,0.1402064710855484,0.0017185211181640625,0.0017185211181640625,344.5,,813.0,,inf,
19300.0,[10.3046875],[3.10546875],2.95703125,,,,,0.7085280418395996,0.7085280418395996,0.2916179895401001,0.2916179895401001,0.0023708343505859375,0.0023708343505859375,1178.0,,inf,,inf,
19400.0,[10.890625],[2.6796875],2.65234375,,,,,0.6661585569381714,0.6661585569381714,0.3336509168148041,0.3336509168148041,0.0026092529296875,0.0026092529296875,365.0,,inf,,inf,
